date,zone,plot,replicate,boat_weight,wet_weight,soil_wet_weight,dry_weight,soil_dry_weight,percentage_moisture,ec_us/cm,salinity_ppt
7/13/23,L,L1,C,2.2,78.1,75.9,14.5,12.3,0.837944664,14730,7.32
7/13/23,L,L2,A,2.2,86.7,84.5,23.4,21.2,0.749112426,4070,2.02
7/13/23,L,L2,B,2.2,63.6,61.4,13.6,11.4,0.814332248,7650,3.9
7/13/23,L,L2,C,2.3,70.8,68.5,13.7,11.4,0.833576642,16210,8.11
7/13/23,L,L3,B,2.3,69.8,67.5,17.9,15.6,0.768888889,3230,1.62
7/13/23,L,L3,C,2.1,85.2,83.1,18.5,16.4,0.802647413,9920,4.95
7/13/23,L,L3,A,2.1,63.5,61.4,12.9,10.8,0.824104235,13790,6.9
7/13/23,L,L4,A,2.1,72.5,70.4,22.7,20.6,0.707386364,3530,1.77
7/13/23,L,L4,C,2.2,74.4,72.2,13.5,11.3,0.843490305,8940,4.47
7/13/23,L,L4,B,2,74.1,72.1,13.2,11.2,0.844660194,13060,6.46
7/13/23,L,L5,B,2,51.4,49.4,18.9,16.9,0.657894737,1664,0.83
7/13/23,L,L5,C,2.3,83.8,81.5,24.2,21.9,0.731288344,4360,2.18
7/13/23,L,L5,A,2.3,93.3,91,23.5,21.2,0.767032967,4470,2.23
7/13/23,L,L6,A,2.2,63.5,61.3,24.6,22.4,0.634584013,2820,1.39
7/13/23,L,L6,C,2.2,63,60.8,13.3,11.1,0.817434211,13690,6.81
7/13/23,L,L6,B,2.3,81.1,78.8,14.8,12.5,0.841370558,20200,10.06
7/13/23,L,L7,C,2.7,62.9,60.2,26.7,24,0.601328904,379,0.19
7/13/23,L,L7,A,2.1,53.8,51.7,18.4,16.3,0.684719536,458,0.23
7/13/23,L,L7,B,2.3,60.7,58.4,17.1,14.8,0.746575342,4360,2.18
7/13/23,M,M0,C,2.2,91.1,88.9,19.8,17.6,0.802024747,2250,1.12
7/13/23,M,M0,A,2,97,95,21.2,19.2,0.797894737,5060,2.53
7/13/23,M,M0,B,2.3,104.9,102.6,19.8,17.5,0.829434698,7190,3.58
7/13/23,M,M1,A,2.3,108.7,106.4,25,22.7,0.786654135,1706,0.85
7/13/23,M,M1,C,2.3,76.3,74,16.9,14.6,0.802702703,4140,2.07
7/13/23,M,M1,B,2.2,73.4,71.2,15.7,13.5,0.810393258,4920,2.46
7/13/23,M,M2,B,2,59.2,57.2,17.4,15.4,0.730769231,1068,0.53
7/13/23,M,M2,C,2.3,78.4,76.1,19.7,17.4,0.771353482,2870,1.44
7/13/23,M,M2,A,2.6,82.2,79.6,20,17.4,0.781407035,4040,2.01
7/13/23,M,M3,C,2.2,89.7,87.5,22.2,20,0.771428571,3820,1.91
7/13/23,M,M3,B,2.2,81,78.8,15.9,13.7,0.826142132,4930,2.47
