id,genus,spp,tree_number,stem_number,dbh,health,alive,standing,old_plot_col,zone,plot,oldtag,dhas.1,dhas.2,notes,new_genus,new_species
Jun.vir.70.1,Jun,vir,70,1,172,3,0,1,L6,L,6,,,,,,
Jun.vir.71.1,Jun,vir,71,1,239,7,1,1,L6,L,6,,,,,,
Nys.syl.72.1,Nys,syl,72,1,87,0,0,1,L6,L,6,,,,,,
Jun.vir.73.1,Jun,vir,73,1,131,5,1,1,L6,L,6,,,,,,
Pin.tae.74.1,Pin,tae,74,1,397,0,0,1,L6,L,6,,,,,,
Pin.tae.75.1,Pin,tae,75,1,155,8,1,1,L6,L,6,,,,,,
Jun.vir.76.1,Jun,vir,76,1,238,7,1,1,L6,L,6,,,,,,
Jun.vir.77.1,Jun,vir,77,1,110,4,1,1,L6,L,6,,,,,,
Pin.tae.78.1,Pin,tae,78,1,326,0,0,1,L6,L,6,,,,,,
Jun.vir.79.1,Jun,vir,79,1,85,4,1,1,L6,L,6,,,,,,
Jun.vir.80.1,Jun,vir,80,1,59,0,0,1,L6,L,6,,,,,,
Jun.vir.81.1,Jun,vir,81,1,37,0,0,1,L6,L,6,,,,,,
Jun.vir.82.1,Jun,vir,82,1,44,0,0,1,L6,L,6,,,,,,
Jun.vir.83.1,Jun,vir,83,1,200,5,1,1,L6,L,6,,,,,,
Jun.vir.84.1,Jun,vir,84,1,145,8,1,1,L6,L,6,,,,stripped bark accidentally,,
Pin.tae.85.1,Pin,tae,85,1,35,0,0,1,L6,L,6,,,,,,
Jun.vir.86.1,Jun,vir,86,1,245,6,1,1,L6,L,6,,,,,,
Jun.vir.87.1,Jun,vir,87,1,,,,,L6,L,6,,,,,,
Jun.vir.88.1,Jun,vir,88,1,96,0,0,1,L6,L,6,,,,,,
Jun.vir.89.1,Jun,vir,89,1,95,5,1,1,L6,L,6,,,,,,
Jun.vir.90.1,Jun,vir,90,1,50,0,0,1,L6,L,6,,,,,,
Jun.vir.91.1,Jun,vir,91,1,84,0,0,1,L6,L,6,,,,,,
Nys.syl.92.1,Nys,syl,92,1,95,1,1,1,L6,L,6,,,,,,
Jun.vir.93.1,Jun,vir,93,1,154,7,1,1,L6,L,6,,,,,,
Jun.vir.94.1,Jun,vir,94,1,168,5,1,1,L6,L,6,,,,,,
Pin.tae.95.1,Pin,tae,95,1,351,4,1,1,L6,L,6,,,,,,
Jun.vir.96.1,Jun,vir,96,1,125,5,1,1,L6,L,6,,,,,,
Pin.tae.97.1,Pin,tae,97,1,150,0,0,1,L6,L,6,,,,,,
Jun.vir.98.1,Jun,vir,98,1,149,6,1,1,L6,L,6,,,,,,
Jun.vir.988.1,Jun,vir,988,1,32,0,0,1,L6,L,6,,,,,,
Nys.syl.99.1,Nys,syl,99,1,203,0,0,1,L6,L,6,,,,,,
Jun.vir.990.1,Jun,vir,990,1,66,0,0,1,L6,L,6,,,,,,
Jun.vir.991.1,Jun,vir,991,1,55,0,0,1,L6,L,6,,,,,,
Mor.cer.503.2,Mor,cer,503,2,53,4,1,1,L6,L,6,,,,,,
Mor.cer.503.3,Mor,cer,503,3,,,,,L6,L,6,,,,,,
Mor.cer.725.1,Mor,cer,725,1,52,7,1,1,L6,L,6,,,,,,
Jun.vir.726.1,Jun,vir,726,1,145,8,1,1,L6,L,6,,,,,,
Mor.cer.782.1,Mor,cer,782,1,56,6,1,1,L6,L,6,,,,,,
Mor.cer.724.1,Mor,cer,724,1,62,7,1,1,L6,L,6,,,,,,
Jun.vir.10.1,Jun,vir,10,1,124,0,0,1,L7,L,7,,,,,,
Pin.tae.11.1,Pin,tae,11,1,,0,0,0,L7,L,7,,,,fallen,,
Pin.tae.12.1,Pin,tae,12,1,126,0,0,1,L7,L,7,,,,,,
Jun.vir.13.1,Jun,vir,13,1,196,7,1,1,L7,L,7,,,,,,
Jun.vir.14.1,Jun,vir,14,1,65,7,1,1,L7,L,7,,,,,,
Jun.vir.15.1,Jun,vir,15,1,105,4,1,1,L7,L,7,,,,,,
Jun.vir.16.1,Jun,vir,16,1,104,0,0,1,L7,L,7,,,,,,
Jun.vir.17.1,Jun,vir,17,1,91,3,1,1,L7,L,7,,,,,,
Jun.vir.18.1,Jun,vir,18,1,228,6,1,1,L7,L,7,,,,,,
Jun.vir.19.1,Jun,vir,19,1,49,0,0,1,L7,L,7,,,,,,
Jun.vir.2.1,Jun,vir,2,1,111,2,1,1,L7,L,7,,,,,,
Pin.tae.20.1,Pin,tae,20,1,472,6,1,1,L7,L,7,,,,,,
Jun.vir.21.1,Jun,vir,21,1,65,7,1,1,L7,L,7,,,,,,
Pin.tae.22.1,Pin,tae,22,1,,0,0,1,L7,L,7,,,,danger,,
Jun.vir.23.1,Jun,vir,23,1,101,0,0,1,L7,L,7,,,,,,
Jun.vir.24.1,Jun,vir,24,1,96,0,0,1,L7,L,7,,,,,,
Jun.vir.25.1,Jun,vir,25,1,130,0,0,1,L7,L,7,,,,,,
Jun.vir.26.1,Jun,vir,26,1,133,7,1,1,L7,L,7,,,,,,
Jun.vir.27.1,Jun,vir,27,1,120,5,1,1,L7,L,7,,,,,,
Jun.vir.28.1,Jun,vir,28,1,126,4,1,1,L7,L,7,,,,,,
Jun.vir.29.1,Jun,vir,29,1,126,2,1,1,L7,L,7,,,,,,
Jun.vir.3.1,Jun,vir,3,1,100,5,1,1,L7,L,7,,,,,,
Jun.vir.30.1,Jun,vir,30,1,195,4,1,1,L7,L,7,,,,,,
Jun.vir.31.1,Jun,vir,31,1,121,6,1,1,L7,L,7,,,,,,
Jun.vir.32.1,Jun,vir,32,1,68,6,1,1,L7,L,7,,,,,,
Pin.tae.33.1,Pin,tae,33,1,,,,,L7,L,7,,,,,,
Jun.vir.34.1,Jun,vir,34,1,151,5,1,1,L7,L,7,,,,,,
Pin.tae.35.1,Pin,tae,35,1,336,3,1,1,L7,L,7,,,,,,
Jun.vir.36.1,Jun,vir,36,1,92,7,1,1,L7,L,7,,,,,,
Jun.vir.37.1,Jun,vir,37,1,40,0,0,1,L7,L,7,,,,,,
Jun.vir.38.1,Jun,vir,38,1,121,0,0,1,L7,L,7,,,,,,
Pin.tae.39.1,Pin,tae,39,1,,,,,L7,L,7,,,,,,
Jun.vir.4.1,Jun,vir,4,1,69,0,0,1,L7,L,7,,,,,,
Mor.cer.498.1,Mor,cer,498,1,90,0,0,1,L7,L,7,,,,,,
Jun.vir.5.1,Jun,vir,5,1,128,5,1,1,L7,L,7,,,,,,
Mor.cer.500.1,Mor,cer,500,1,67,6,1,1,L7,L,7,,,,,,
Jun.vir.5029.1,Jun,vir,5029,1,,,,,L7,L,7,,,,,,
Jun.vir.5031.1,Jun,vir,5031,1,125,3,1,1,L7,L,7,,,,,,
Jun.vir.5032.1,Jun,vir,5032,1,105,5,1,1,L7,L,7,,,,,,
Uni.spp.5033.1,Uni,spp,5033,1,85,0,0,1,L7,L,7,,,,species change,Jun,vir
Jun.vir.5034.1,Jun,vir,5034,1,168,6,1,1,L7,L,7,,,,,,
Uni.spp.5035.1,Uni,spp,5035,1,103,0,0,1,L7,L,7,,,,,,
Uni.spp.5036.1,Uni,spp,5036,1,,0,0,1,L7,L,7,,,,"posion ivy, species change",Jun,vir
Jun.vir.5037.1,Jun,vir,5037,1,135,4,1,1,L7,L,7,,,,,,
Jun.vir.5038.1,Jun,vir,5038,1,100,5,1,1,L7,L,7,,,,,,
Uni.spp.5039.1,Uni,spp,5039,1,74,6,1,1,L7,L,7,,,,species change,Jun,vir
Uni.spp.5040.1,Uni,spp,5040,1,60,0,0,1,L7,L,7,,,,species change,Jun,vir
Pin.tae.506.1,Pin,tae,506,1,,,,,L7,L,7,,,,,,
Mor.cer.5790.1,Mor,cer,5790,1,56,0,0,1,L7,L,7,,,,,,
Pin.tae.6.1,Pin,tae,6,1,,0,0,1,L7,L,7,,,,,,
Jun.vir.7.1,Jun,vir,7,1,169,3,1,1,L7,L,7,,,,,,
Jun.vir.8.1,Jun,vir,8,1,153,5,1,1,L7,L,7,,,,vine on tree,,
Pin.tae.9.1,Pin,tae,9,1,349,0,0,1,L7,L,7,,,,,,
Pin.tae.908.1,Pin,tae,908,1,,0,0,1,L7,L,7,,,,dangerous to DBH,,
Pin.tae.973.1,Pin,tae,973,1,,,,,L7,L,7,,,,,,
Pin.tae.974.1,Pin,tae,974,1,,0,0,1,L7,L,7,,,,,,
Jun.vir.975.1,Jun,vir,975,1,118,3,1,1,L7,L,7,,,,,,
Jun.vir.976.1,Jun,vir,976,1,209,7,1,1,L7,L,7,,,,,,
Pin.tae.977.1,Pin,tae,977,1,,0,0,0,L7,L,7,,,,confirmed fallen,,
Jun.vir.982.1,Jun,vir,982,1,,,,,L7,L,7,,,,,,
Mor.cer.5153.1,Mor,cer,5153,1,73,0,0,1,L7,L,7,,,,,,
Nys.syl.473.1,Nys,syl,473,1,168,4,1,1,M0,M,0,,,,,,
Nys.syl.484.1,Nys,syl,484,1,45,3,1,1,M0,M,0,,,,,,
Nys.syl.485.1,Nys,syl,485,1,231,7,1,1,M0,M,0,,,,,,
Nys.syl.486.1,Nys,syl,486,1,103,5,1,1,M0,M,0,,,,dead second stem,,
Nys.syl.498.1,Nys,syl,498,1,,,,,M0,M,0,,,,missing,,
Nys.syl.500.1,Nys,syl,500,1,122,4,1,1,M0,M,0,,,,weird split in half,,
Ile.opa.513.1,Ile,opa,513,1,71,7,1,1,M0,M,0,,,,,,
Pin.tae.514.1,Pin,tae,514,1,352,6,1,1,M0,M,0,,,,,,
Pin.tae.515.1,Pin,tae,515,1,297,0,0,1,M0,M,0,,,,,,
Nys.syl.520.1,Nys,syl,520,1,,,,,M0,M,0,,,,missing,,
Pin.tae.576.1,Pin,tae,576,1,308,0,0,1,M0,M,0,,,,,,
Jun.vir.577.1,Jun,vir,577,1,119,0,0,1,M0,M,0,,,,,,
Nys.syl.578.1,Nys,syl,578,1,,0,0,1,M0,M,0,,,,ivy,,
Nys.syl.579.1,Nys,syl,579,1,100,4,1,1,M0,M,0,,,,might be 579 second trunk,,
Nys.syl.580.1,Nys,syl,580,1,77,3,1,1,M0,M,0,,,,,,
Nys.syl.581.1,Nys,syl,581,1,44,4,1,1,M0,M,0,,,,,,
Pin.tae.582.1,Pin,tae,582,1,181,0,0,1,M0,M,0,,,,,,
Uni.spp.583.1,Uni,spp,583,1,,,,,M0,M,0,,,,,,
Pin.tae.584.1,Pin,tae,584,1,494,2,1,1,M0,M,0,,,,,,
Jun.vir.585.1,Jun,vir,585,1,53,0,0,1,M0,M,0,,,,,,
Jun.vir.586.1,Jun,vir,586,1,73,0,0,1,M0,M,0,,,,,,
Jun.vir.587.1,Jun,vir,587,1,79,0,0,1,M0,M,0,,,,,,
